point,density,population,area,location,density_type,Département,latitude,longitude,daynight,acq_date
"(42.695, 2.8110000000000004)",405.44303797468353,3203.0,7.9,Baho,commune,66,42.695,2.8110000000000004,D,2020-07-01
"(43.448, 4.89)",171.49821254468637,15831.0,92.31,Fos-sur-Mer,commune,13,43.448,4.89,N,2020-07-02
"(43.448, 4.89)",171.49821254468637,15831.0,92.31,Fos-sur-Mer,commune,13,43.448,4.89,N,2020-08-21
"(43.45, 4.902)",171.49821254468637,15831.0,92.31,Fos-sur-Mer,commune,13,43.45,4.902,N,2020-07-02
"(43.443999999999996, 4.9)",171.49821254468637,15831.0,92.31,Fos-sur-Mer,commune,13,43.443999999999996,4.9,N,2020-07-03
"(47.18899999999999, 0.573)",24.948124501197128,1563.0,62.65,Saint-Épain,commune,37,47.18899999999999,0.573,N,2020-07-04
"(43.448, 4.8839999999999995)",171.49821254468637,15831.0,92.31,Fos-sur-Mer,commune,13,43.448,4.8839999999999995,N,2020-07-04
"(43.44, 4.897)",171.49821254468637,15831.0,92.31,Fos-sur-Mer,commune,13,43.44,4.897,N,2020-07-05
"(43.577, 4.1960000000000015)",145.11941848390447,8385.0,57.78,Aigues-Mortes,commune,30,43.577,4.1960000000000015,D,2020-07-05
"(43.58, 4.178999999999999)",145.11941848390447,8385.0,57.78,Aigues-Mortes,commune,30,43.58,4.178999999999999,D,2020-07-05
"(44.722, -0.815)",166.4457165812996,16573.0,99.57,Cestas,commune,33,44.722,-0.815,D,2020-07-05
"(43.11, 2.833)",44.920480363518344,1384.0,30.81,Saint-André-de-Roquelongue,commune,11,43.11,2.833,D,2020-07-05
"(43.501999999999995, 5.1960000000000015)",679.8396334478808,11870.0,17.46,Rognac,commune,13,43.501999999999995,5.1960000000000015,D,2020-07-06
"(43.50100000000001, 5.172999999999999)",308.82218148487624,13477.0,43.64,Berre-l'Étang,commune,13,43.50100000000001,5.172999999999999,N,2020-07-06
"(44.894, 4.811)",48.20040310970342,1674.0,34.73,Toulaud,commune,7,44.894,4.811,N,2020-07-06
"(43.504, 5.19)",308.82218148487624,13477.0,43.64,Berre-l'Étang,commune,13,43.504,5.19,N,2020-07-06
"(43.446999999999996, 4.883)",171.49821254468637,15831.0,92.31,Fos-sur-Mer,commune,13,43.446999999999996,4.883,N,2020-07-07
"(43.445, 4.899)",171.49821254468637,15831.0,92.31,Fos-sur-Mer,commune,13,43.445,4.899,N,2020-07-07
"(43.728, 4.388999999999999)",87.66668834970403,13477.0,153.73,Saint-Gilles,commune,30,43.728,4.388999999999999,D,2020-07-07
"(42.695, 2.85)",1791.3030703687382,121934.0,68.07,Perpignan,commune,66,42.695,2.85,D,2020-07-07
"(42.696999999999996, 2.8369999999999997)",405.44303797468353,3203.0,7.9,Baho,commune,66,42.696999999999996,2.8369999999999997,D,2020-07-07
"(47.771, 7.431)",323.77291543465407,5475.0,16.91,Sausheim,commune,68,47.771,7.431,D,2020-07-07
"(47.625, 6.132999999999999)",232.29166666666663,2007.0,8.64,Noidans-lès-Vesoul,commune,70,47.625,6.132999999999999,D,2020-07-07
"(47.31399999999999, 6.252999999999999)",135.37906137184117,1125.0,8.31,Roulans,commune,25,47.31399999999999,6.252999999999999,D,2020-07-07
"(44.723, -0.815)",166.4457165812996,16573.0,99.57,Cestas,commune,33,44.723,-0.815,D,2020-07-07
"(45.325, 3.3560000000000003)",12.630480167014616,242.0,19.16,Beaumont,commune,43,45.325,3.3560000000000003,D,2020-07-07
